Country,CNRY_ABBR,Region,CPI_SCORE_2018
Russia,RUS,ECA,28
Comoros,COM,SSA,27
Guatemala,GTM,AME,27
Kenya,KEN,SSA,27
Mauritania,MRT,SSA,27
Nigeria,NGA,SSA,27
Bangladesh,BGD,AP,26
Central African Republic,CAF,SSA,26
Uganda,UGA,SSA,26
Azerbaijan,AZE,ECA,25
Cameroon,CMR,SSA,25
Madagascar,MDG,SSA,25
Nicaragua,NIC,AME,25
Tajikistan,TJK,ECA,25
Eritrea,ERI,SSA,24
Mozambique,MOZ,SSA,23
Uzbekistan,UZB,ECA,23
Zimbabwe,ZWE,SSA,22
Cambodia,KHM,AP,20
Democratic Republic of the Congo,COD,SSA,20
Haiti,HTI,AME,20
Turkmenistan,TKM,ECA,20
Angola,AGO,SSA,19
Chad,TCD,SSA,19
Congo,COG,SSA,19
Iraq,IRQ,MENA,18
Venezuela,VEN,AME,18
Burundi,BDI,SSA,17
Libya,LBY,MENA,17
Afghanistan,AFG,AP,16
Equatorial Guinea,GNQ,SSA,16
Guinea Bissau,GNB,SSA,16
Sudan,SDN,SSA,16
"Korea, North",PRK,AP,14
Yemen,YEM,MENA,14
South Sudan,SSD,SSA,13
Syria,SYR,MENA,13
Somalia,SOM,SSA,10
