year,skill_group_category,skill_group_name,isic_section_index,isic_section_name,industry_name,skill_group_penetration_rate
2015,Business Skills,Advertising,C,Manufacturing,Electrical & Electronic Manufacturing,0.046%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.040%
2015,Business Skills,Advertising,C,Manufacturing,Machinery,0.035%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Research,0.035%
2015,Business Skills,Advertising,C,Manufacturing,Renewables & Environment,0.034%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Environmental Services,0.025%
2015,Business Skills,Advertising,B,Mining and quarrying,Oil & Energy,0.025%
2015,Business Skills,Advertising,C,Manufacturing,Packaging & Containers,0.016%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Aviation & Aerospace,3.066%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Automotive,0.197%
2015,Disruptive Tech Skills,Aerospace Engineering,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.195%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Machinery,0.049%
2015,Disruptive Tech Skills,Aerospace Engineering,M,Professional scientific and technical activities,Design,0.044%
2015,Disruptive Tech Skills,Aerospace Engineering,M,Professional scientific and technical activities,Research,0.035%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Industrial Automation,0.032%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Renewables & Environment,0.024%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Electrical & Electronic Manufacturing,0.022%
2015,Disruptive Tech Skills,Aerospace Engineering,J,Information and communication,Information Technology & Services,0.022%
2015,Disruptive Tech Skills,Aerospace Engineering,B,Mining and quarrying,Oil & Energy,0.015%
2015,Disruptive Tech Skills,Aerospace Engineering,C,Manufacturing,Plastics,0.010%
2015,Business Skills,Affiliate Marketing,C,Manufacturing,Food Production,0.136%
2015,Business Skills,Affiliate Marketing,M,Professional scientific and technical activities,Marketing & Advertising,0.074%
2015,Business Skills,Affiliate Marketing,J,Information and communication,Internet,0.048%
2015,Business Skills,Affiliate Marketing,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.011%
2015,Specialized Industry Skills,Agricultural Production,M,Professional scientific and technical activities,Veterinary,2.096%
2015,Specialized Industry Skills,Agricultural Production,C,Manufacturing,Food Production,0.129%
2015,Specialized Industry Skills,Agricultural Production,C,Manufacturing,Chemicals,0.099%
2015,Specialized Industry Skills,Agricultural Production,K,Financial and insurance activities,Financial Services,0.030%
2015,Specialized Industry Skills,Agricultural Production,M,Professional scientific and technical activities,Biotechnology,0.029%
2015,Specialized Industry Skills,Agricultural Production,R,"Arts, entertainment and recreation ",Museums & Institutions,0.027%
2015,Specialized Industry Skills,Agricultural Production,M,Professional scientific and technical activities,Environmental Services,0.012%
2015,Specialized Industry Skills,Agronomy,M,Professional scientific and technical activities,Environmental Services,0.021%
2015,Specialized Industry Skills,Agronomy,C,Manufacturing,Food Production,0.017%
2015,Specialized Industry Skills,Air Force,C,Manufacturing,Aviation & Aerospace,2.536%
2015,Specialized Industry Skills,Air Force,M,Professional scientific and technical activities,Photography,0.014%
2015,Specialized Industry Skills,Aircraft Management,C,Manufacturing,Aviation & Aerospace,0.710%
2015,Specialized Industry Skills,Airlines,C,Manufacturing,Aviation & Aerospace,2.424%
2015,Specialized Industry Skills,Analytical Reasoning,K,Financial and insurance activities,Capital Markets,0.092%
2015,Specialized Industry Skills,Anesthesiology,M,Professional scientific and technical activities,Veterinary,0.377%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Animation,17.828%
2015,Tech Skills,Animation,J,Information and communication,Computer Games,4.673%
2015,Tech Skills,Animation,J,Information and communication,Motion Pictures & Film,3.808%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Architecture & Planning,1.290%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Graphic Design,1.221%
2015,Tech Skills,Animation,J,Information and communication,Media Production,1.086%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Design,0.837%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Entertainment,0.713%
2015,Tech Skills,Animation,J,Information and communication,Broadcast Media,0.390%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Fine Art,0.316%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Marketing & Advertising,0.243%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Arts & Crafts,0.211%
2015,Tech Skills,Animation,J,Information and communication,Internet,0.094%
2015,Tech Skills,Animation,J,Information and communication,Computer Software,0.091%
2015,Tech Skills,Animation,J,Information and communication,Information Technology & Services,0.075%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Events Services,0.064%
2015,Tech Skills,Animation,J,Information and communication,Publishing,0.062%
2015,Tech Skills,Animation,J,Information and communication,Online Media,0.048%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Photography,0.042%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.040%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.024%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Professional Training & Coaching,0.019%
2015,Tech Skills,Animation,M,Professional scientific and technical activities,Public Relations & Communications,0.013%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Sports,0.013%
2015,Tech Skills,Animation,R,"Arts, entertainment and recreation ",Performing Arts,0.011%
2015,Specialized Industry Skills,Anthropology,R,"Arts, entertainment and recreation ",Museums & Institutions,0.053%
2015,Specialized Industry Skills,Anthropology,M,Professional scientific and technical activities,Environmental Services,0.012%
2015,Specialized Industry Skills,Apparel,C,Manufacturing,Textiles,4.398%
2015,Specialized Industry Skills,Apparel,M,Professional scientific and technical activities,Design,0.745%
2015,Specialized Industry Skills,Apparel,R,"Arts, entertainment and recreation ",Arts & Crafts,0.348%
2015,Specialized Industry Skills,Apparel,M,Professional scientific and technical activities,Photography,0.336%
2015,Specialized Industry Skills,Apparel,R,"Arts, entertainment and recreation ",Fine Art,0.101%
2015,Specialized Industry Skills,Apparel,R,"Arts, entertainment and recreation ",Entertainment,0.089%
2015,Specialized Industry Skills,Apparel,J,Information and communication,Motion Pictures & Film,0.084%
2015,Specialized Industry Skills,Apparel,R,"Arts, entertainment and recreation ",Performing Arts,0.080%
2015,Specialized Industry Skills,Apparel,J,Information and communication,Publishing,0.079%
2015,Specialized Industry Skills,Apparel,M,Professional scientific and technical activities,Public Relations & Communications,0.060%
2015,Specialized Industry Skills,Apparel,J,Information and communication,Internet,0.052%
2015,Specialized Industry Skills,Apparel,M,Professional scientific and technical activities,Marketing & Advertising,0.038%
2015,Specialized Industry Skills,Apparel,J,Information and communication,Online Media,0.029%
2015,Specialized Industry Skills,Apparel,M,Professional scientific and technical activities,Events Services,0.023%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Architecture & Planning,10.963%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Design,2.242%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,1.524%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Industrial Automation,0.743%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Renewables & Environment,0.610%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Machinery,0.597%
2015,Specialized Industry Skills,Architecture,B,Mining and quarrying,Mining & Metals,0.493%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Electrical & Electronic Manufacturing,0.492%
2015,Specialized Industry Skills,Architecture,B,Mining and quarrying,Oil & Energy,0.437%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Environmental Services,0.306%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Automotive,0.301%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Aviation & Aerospace,0.291%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Graphic Design,0.212%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Information Technology & Services,0.174%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Plastics,0.169%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Arts & Crafts,0.137%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Management Consulting,0.134%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Computer Software,0.130%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Packaging & Containers,0.130%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Research,0.129%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Animation,0.126%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Paper & Forest Products,0.119%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Executive Office,0.115%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Fine Art,0.114%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Chemicals,0.105%
2015,Specialized Industry Skills,Architecture,K,Financial and insurance activities,Investment Management,0.102%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Semiconductors,0.084%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Events Services,0.081%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.081%
2015,Specialized Industry Skills,Architecture,K,Financial and insurance activities,Financial Services,0.079%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Textiles,0.078%
2015,Specialized Industry Skills,Architecture,K,Financial and insurance activities,Insurance,0.065%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Performing Arts,0.057%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Telecommunications,0.052%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Professional Training & Coaching,0.048%
2015,Specialized Industry Skills,Architecture,K,Financial and insurance activities,Banking,0.045%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Internet,0.044%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Food Production,0.043%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Marketing & Advertising,0.043%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Entertainment,0.038%
2015,Specialized Industry Skills,Architecture,C,Manufacturing,Pharmaceuticals,0.034%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Computer Hardware,0.033%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Writing & Editing,0.030%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Biotechnology,0.029%
2015,Specialized Industry Skills,Architecture,M,Professional scientific and technical activities,Accounting,0.026%
2015,Specialized Industry Skills,Architecture,J,Information and communication,Media Production,0.024%
2015,Specialized Industry Skills,Architecture,R,"Arts, entertainment and recreation ",Sports,0.022%
2015,Specialized Industry Skills,Army,C,Manufacturing,Aviation & Aerospace,0.132%
2015,Specialized Industry Skills,Art History,R,"Arts, entertainment and recreation ",Museums & Institutions,4.427%
2015,Specialized Industry Skills,Art History,R,"Arts, entertainment and recreation ",Fine Art,3.725%
2015,Specialized Industry Skills,Art History,R,"Arts, entertainment and recreation ",Arts & Crafts,2.376%
2015,Specialized Industry Skills,Art History,M,Professional scientific and technical activities,Photography,0.126%
2015,Specialized Industry Skills,Art History,M,Professional scientific and technical activities,Design,0.036%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Computer Software,0.048%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Internet,0.035%
2015,Disruptive Tech Skills,Artificial Intelligence,M,Professional scientific and technical activities,Research,0.028%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Semiconductors,0.021%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Information Technology & Services,0.019%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Computer Games,0.017%
2015,Disruptive Tech Skills,Artificial Intelligence,M,Professional scientific and technical activities,Information Services,0.016%
2015,Disruptive Tech Skills,Artificial Intelligence,K,Financial and insurance activities,Investment Management,0.015%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Computer & Network Security,0.011%
2015,Disruptive Tech Skills,Artificial Intelligence,J,Information and communication,Computer Networking,0.011%
2015,Disruptive Tech Skills,Artificial Intelligence,M,Professional scientific and technical activities,Biotechnology,0.010%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Accounting,2.910%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Management Consulting,0.563%
2015,Business Skills,Auditing,K,Financial and insurance activities,Insurance,0.447%
2015,Business Skills,Auditing,B,Mining and quarrying,Oil & Energy,0.378%
2015,Business Skills,Auditing,K,Financial and insurance activities,Financial Services,0.370%
2015,Business Skills,Auditing,K,Financial and insurance activities,Investment Management,0.349%
2015,Business Skills,Auditing,B,Mining and quarrying,Mining & Metals,0.341%
2015,Business Skills,Auditing,K,Financial and insurance activities,Banking,0.334%
2015,Business Skills,Auditing,C,Manufacturing,Chemicals,0.282%
2015,Business Skills,Auditing,C,Manufacturing,Food Production,0.249%
2015,Business Skills,Auditing,C,Manufacturing,Textiles,0.249%
2015,Business Skills,Auditing,C,Manufacturing,Packaging & Containers,0.243%
2015,Business Skills,Auditing,C,Manufacturing,Paper & Forest Products,0.227%
2015,Business Skills,Auditing,C,Manufacturing,Electrical & Electronic Manufacturing,0.212%
2015,Business Skills,Auditing,J,Information and communication,Semiconductors,0.210%
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.202%
2015,Business Skills,Auditing,C,Manufacturing,Pharmaceuticals,0.196%
2015,Business Skills,Auditing,C,Manufacturing,Automotive,0.171%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Biotechnology,0.167%
2015,Business Skills,Auditing,C,Manufacturing,Machinery,0.162%
2015,Business Skills,Auditing,J,Information and communication,Telecommunications,0.159%
2015,Business Skills,Auditing,C,Manufacturing,Renewables & Environment,0.149%
2015,Business Skills,Auditing,C,Manufacturing,Plastics,0.129%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.127%
2015,Business Skills,Auditing,C,Manufacturing,Aviation & Aerospace,0.120%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Environmental Services,0.112%
2015,Business Skills,Auditing,J,Information and communication,Information Technology & Services,0.112%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Law Practice,0.111%
2015,Business Skills,Auditing,J,Information and communication,Computer Software,0.106%
2015,Business Skills,Auditing,C,Manufacturing,Printing,0.104%
2015,Business Skills,Auditing,C,Manufacturing,Industrial Automation,0.095%
2015,Business Skills,Auditing,J,Information and communication,Internet,0.087%
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ",Entertainment,0.083%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Legal Services,0.081%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.081%
2015,Business Skills,Auditing,J,Information and communication,Publishing,0.073%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Research,0.063%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Marketing & Advertising,0.062%
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.058%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Architecture & Planning,0.043%
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Design,0.032%
