country_code,country_name,wb_income,wb_region,skill_group_category,skill_group_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Geotechnical Engineering,-907.89,-1751.97,-658.35,-659.34,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Environmental Consulting,-1930.84,-940.65,-837,-650.69,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Investment Banking,-1016.37,-769.23,-1072.56,-632.5,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Financial Accounting,-1067.59,-1515.44,-1021.71,-619.65,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Manufacturing Operations,-2151.96,-1309.49,-990.68,-611.18,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Tax Accounting,-630.57,-1064.88,-700.7,-599.56,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Economics,-876.31,-680.27,-839.28,-588.64,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Capital Markets,-557.64,-559.01,-1796.35,-586.67,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Environmental Science,-2045.61,-1386.78,-1111,-583.74,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Payroll Services,-836.88,-880.56,-947.81,-572.97,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Corporate Communications,-1301.95,-1415.73,-1170.82,-557.5,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Criminal Law,-176.86,-599.6,-979.9,-555.38,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Operational Efficiency,-2033.71,-1223.05,-788.79,-549.68,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Human Resources,-1188.64,-1470.88,-1835.46,-532.52,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Customer Experience,-1445.78,-548.11,-491.07,-516.23,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Materials Science,-1389.72,-1039.34,-844.6,-513.02,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Ocean Transportation,-1320.39,-1918.72,-907.84,-495.87,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Environmental Engineering,-2389.76,-1573.5,-887.69,-486.82,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Administrative Assistance,-1185,-1066.28,-1016.73,-471.15,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Water Engineering,-965.64,-1156.96,-633.6,-463.86,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Management Accounting,-1159.26,-1074.27,-867.4,-444.96,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Food Service Operations,-2861.52,-1308.03,-325.83,-443.06,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Ground Transportation,-1208.53,-927.29,-894.47,-416.55,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Writing,-716.58,-859.54,-793.19,-414.44,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Social Perceptiveness,-3024.3,-371.8,-871.86,-393.01,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Maintenance & Repair,-3382.94,-2202.96,-1173.87,-377.66,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Web Development,-574.32,-1235.96,-1019.53,-367.24,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Data Science,-1100.86,-987.04,-702.51,-357.91,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,People Management,-1197.75,-827.63,-680.59,-347.11,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Architecture,-1453.45,-535.55,-805.02,-345.62,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Accounts Payable,-689.55,-752.82,-696.42,-342.67,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Emergency Medicine,-1356.08,-243.56,-829.96,-331.56,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Employee Learning & Development,-1083.71,-728.34,-822.82,-326.63,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Computer Hardware,-1379.43,-832.96,-1209.8,-326.3,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Translation,-410.04,-1662.34,-987.11,-305.87,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Journalism,-1605.92,-1235.84,-731.71,-299.07,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Bookkeeping,-968.46,-963.7,-704.28,-249.35,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Power Systems,-5566.88,-1153.35,-3254.49,-243.36,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Earth Science,-1963.79,-2377.99,-1302.16,-239.72,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Management Consulting,-692.77,-902.09,-942.3,-225.84,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Agricultural Production,-755.77,-466.65,-329.67,-221.64,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Electronics,-1616.11,-1492.37,-878.08,-217.49,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Higher Education,-923.56,-848.59,-792.45,-211.32,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Business Management,-1033.92,-818.79,-751.97,-201.95,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Time Management,-732.6,-819.97,-593.47,-199.83,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Public Health,221.77,-927.68,-647,-166.08,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Leadership,-1486.08,-797.22,-603.58,-134.89,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Research,-5.16,-222.74,-252.63,-130.83,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Enterprise Software,-1602.95,-623.38,-738.23,-122.27,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Insurance,-887.45,-750.61,-1044.3,-113.8,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Editing,-444.84,-683.26,-401.5,-108.74,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Negotiation,-828.26,-690.49,-396.72,-77.66,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Foreign Languages,-253.76,-490.54,-567.74,-71.16,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Problem Solving,-1304.63,-581.11,-803.04,-37.47,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Development Tools,-930.57,-1241.77,-765.91,-37.25,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Real Estate,-989.01,-1252.61,194.49,-36.56,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Oral Communication,-388.77,-211.01,-238.78,-34.17,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Animation,-480.48,-1610.46,-883.13,-29.28,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Aircraft Management,-1792.92,-850.62,-400.93,0,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Professional Sports,-49.22,-163.43,-35.39,56.21,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Cooking,-2868.16,-2094.97,-157.69,66.82,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Automotive,-386.78,327.95,-660.13,86.08,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Teaching,-384.5,-448.83,-307.2,93.17,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Digital Literacy,-336.39,-441.79,-582.15,98.77,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Personal Coaching,-1256.69,35.35,-547.9,102.72,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Family Medicine,-720.33,-250.17,-203.48,122.1,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Event Planning,-690.28,-533.02,-337.55,168.92,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Graphic Design,-85.58,-270.91,-484.29,173.24,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Inside Sales,-876.4,-731.97,25.61,195.74,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Entrepreneurship,-799.85,-711.23,-887.52,228,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Volunteer Management,-335.57,217.88,-346.39,281.36,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Utilities,-2084.03,-1299.49,-828.98,284.79,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Television,-1420.12,-1490.16,-1112.09,307.56,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Sales Operations,-1235.1,-787.13,-420.13,314.69,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Aerospace Engineering,-2544.97,-2011.43,-1400.96,319.45,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Food Manufacturing,-2172.24,-360.54,-1042.97,333.02,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Social Services,-2063.41,-867.12,-1058.95,335.93,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Pharmaceutics,-393.87,-153.78,-132.28,337.13,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Scientific Computing,-1096.82,-668.62,-432.99,341.31,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Social Media,-387.71,-214.66,-182.89,361.71,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Interior Design,-285.37,-507.13,-675.54,400.95,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Retail Sales,-888.75,-152.87,-280.33,472.81,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Nursing,-2961.74,-1686.84,-798.82,489.13,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Video,-918.55,-1826.6,-2000.3,505.46,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Travel Management,-2029.93,-729.28,394.92,516.13,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Healthcare Management,-1252.3,-587.24,-483.29,525.16,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Digital Marketing,-2391.23,-659.7,-557.1,547.67,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Oil & Gas,-3622.74,-2301.17,-2070.23,560.63,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Law,-2548.18,-1008.98,-1856.15,600.07,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Product Marketing,-458.21,-684.17,-423.9,636.19,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Software Testing,-366.97,-3961.49,-2556.39,671.14,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Advertising,-697.81,-659.34,-372.12,672.49,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Lodging,-1445.09,-787.21,-626.16,678.21,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Photography,-876.8,-1088.21,-269.15,734.11,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Educational Administration,-561.58,-511.26,-557.24,745.59,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Drilling Engineering,113.53,-1364.79,-1959.6,781.25,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,K-12 Education,-1471.17,-918.37,325.12,805.89,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Machining,-2359.83,-1362.04,-89.05,863.31,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Product Development,-321.93,-453.4,-194.87,895.92,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Pharmaceutical Manufacturing,-668.69,-1269.57,-1038.55,913.04,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Recruiting,-1107.57,-1554.14,-1316.61,927.73,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Music,0,-567.91,-681.82,1020.71,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Psychology,-2224.09,-2255.97,-1393.55,1230.77,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Computer Networking,-2805.4,-2905.59,-2707.46,-3072.45,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Web Development,-2758.16,-2956.28,-3026.6,-2745.7,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Disruptive Tech Skills,Development Tools,-2544.91,-2501.94,-2792.43,-2297.46,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Data Storage Technologies,-2070.42,-2227.01,-2312.61,-2193.98,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Telecommunications,-1185.03,-1141.98,-1208.82,-1691.09,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Disruptive Tech Skills,Human Computer Interaction,-2484.73,-2693.6,-1720.14,-1339.35,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Mobile Application Development,-2214.02,-1742.61,-1407.27,-1245.47,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Law,-631.09,-1056.6,-398.43,-1197.1,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Animation,-1358.99,-1334.63,-1150.68,-1173.64,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Urban Planning,-862,-748.29,-606.53,-1056.02,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Architecture,-1248.81,-1127.97,-964.87,-1043.42,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Technical Support,-917.04,-1022.34,-795.27,-957.07,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Construction Engineering,-881.43,-812.16,-732.16,-955.92,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Disruptive Tech Skills,Cyber-security,-1173.61,-1198.32,-1212.91,-904.51,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Computer Hardware,-590.97,-1147.48,-410.27,-886.4,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Public Policy,-1119.66,-683.82,-773.77,-837.36,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Earth Science,-1029.8,-875.66,-863.88,-834.01,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Software Development Life Cycle (SDLC),-1152.45,-1346.92,-1616.58,-820.91,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Geotechnical Engineering,184.76,-196.8,-478.31,-783.95,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Financial Accounting,-996.25,-955.86,-875.83,-766.27,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Politics,-1025.04,-704.64,-726.81,-760.93,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Disruptive Tech Skills,Data Science,-821.97,-741.76,-987.09,-743.78,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,International Law,-714.45,-681.99,-453.99,-718.23,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Nonprofit Management,-1155.66,-937.21,-911.99,-690.84,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Soft Skills,Flexible Approach,-855.17,-445.4,-312.73,-686.06,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Graphic Design,-965.54,-1084.84,-793.56,-682.41,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Enterprise Software,-706.59,-705.13,-946.1,-674.72,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Digital Marketing,-1134.73,-847.39,-1066.81,-671.73,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Auditing,-1059.74,-948.07,-859.93,-659.74,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Scientific Computing,-659.96,-702.52,-561.39,-658.45,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Soft Skills,Problem Solving,-430.62,-928.72,-893.7,-656.55,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Structural Engineering,-590.83,-503.72,-420.32,-628.35,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Project Management,-1130.37,-869.98,-693.42,-625.18,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Economics,-470.32,-998.47,-685.39,-607.07,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Psychology,-1195.37,452.59,-1686.92,-601.13,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Video,-1673.99,-1630.75,-522.66,-595.19,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Entrepreneurship,-917.09,-990.1,-539.25,-582.11,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Soft Skills,Time Management,-955.63,-1024.02,-670,-574.85,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Digital Literacy,-1085.62,-954.81,-782.96,-564.4,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Bookkeeping,-1002.63,-819.34,-760.5,-560.82,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,K-12 Education,417.46,-142.84,-126.12,-557.79,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Tax Accounting,-701.66,-874.52,-521.4,-553.92,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Information Management,-366.46,-585.37,-807.57,-531.07,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Specialized Industry Skills,Contract Law,-352.51,-334.06,-113.26,-520.31,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Tech Skills,Software Testing,-6582.28,-5584.16,-3171.43,-511.36,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Management Consulting,-698.04,-860.51,-673.28,-493.92,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Business Management,-1155.58,-944.9,-699.16,-476.23,,,,,,,,,,,,,,,,,,,
al,Albania,Upper middle income,Europe & Central Asia,Business Skills,Procurement,-1100.96,-1056.95,-485,-460.87,,,,,,,,,,,,,,,,,,,
