isic_section,isic_section_name,isic_division,isic_division_name,industry_sk,industry_name,Industry_group_sk,Industry_group_name
J, J. Information and communication,63,Information service activities,96,information technology and services,8,Software & IT Services
J, J. Information and communication,58,Publishing activities,103,writing and editing,11,Media & Communications
J, J. Information and communication,58,Publishing activities,109,computer games,18,Entertainment
J, J. Information and communication,63,Information service activities,113,online media,11,Media & Communications
J, J. Information and communication,62,"Computer programming, consultancy and related activities",118,computer and network security,8,Software & IT Services
J, J. Information and communication,62,"Computer programming, consultancy and related activities",119,wireless,19,Hardware & Netwoking
J, J. Information and communication,59,"Motion picture, video and television programme production, sound recording",126,media production,19,Entertainment
K, K. Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",41,banking,7,Finance
K, K. Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social",42,insurance,7,Finance
K, K. Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",43,financial services,7,Finance
K, K. Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",45,investment banking,7,Finance
K, K. Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",46,investment management,7,Finance
K, K. Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",106,venture capital and private equity,7,Finance
K, K. Financial and insurance activities,66,Activities auxiliary to financial service and insurance activities,129,capital markets,7,Finance
L, L. Real estate activities,68,Real estate activities,44,Real estate,22,Real estate 
L, L. Real estate activities,68,Real estate activities,128,commercial real estate,22,Real estate 
M," M. Professional, scientific and technical activities",69,Legal and accounting activities,9,law practice,9,Legal
M," M. Professional, scientific and technical activities",69,Legal and accounting activities,10,legal services,9,Legal
M," M. Professional, scientific and technical activities",70,Activities of head offices; management consultancy activities,11,management consulting,5,Corporate Services
M," M. Professional, scientific and technical activities",72,Scientific research and development,12,biotechnology,12,Healthcare
M," M. Professional, scientific and technical activities",75,Veterinary activities,16,veterinary,12, Healthcare
M," M. Professional, scientific and technical activities",69,Legal and accounting activities,47,accounting,5,Corporate Services
M," M. Professional, scientific and technical activities",71,Architectural and engineering activities; technical testing and analysis,50,architecture & planning,17,Design
M," M. Professional, scientific and technical activities",72,Scientific research and development,70,research,6,Education
M," M. Professional, scientific and technical activities",70,Activities of head offices; management consultancy activities,76,executive office,5,Corporate Services
M," M. Professional, scientific and technical activities",73,Advertising and market research,80,marketing and advertising,11,Media & Communications
M," M. Professional, scientific and technical activities",70,Activities of head offices; management consultancy activities,84,information services,5,Corporate Services
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",86,environmental services,5,Corporate Services
M," M. Professional, scientific and technical activities",73,Advertising and market research,97,market research,11,Media & Communications
M," M. Professional, scientific and technical activities",70,Activities of head offices; management consultancy activities,98,public relations and communications,11,Media & Communications
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",99,design,17,Design
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",105,professional training & coaching,5,Corporate Services
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",108,translation and localization,11,Media & Communications
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",110,events services,5,Corporate Services
M," M. Professional, scientific and technical activities",72,Scientific research and development,114,nanotechnology,19,Hardware & Networking
M," M. Professional, scientific and technical activities",69,Legal and accounting activities,120,alternative dispute resolution,9,Legal
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",123,outsourcing/offshoring,5,Corporate Services
M," M. Professional, scientific and technical activities",72,Scientific research and development,135,mechanical or industrial engineering,10,Manufacturing
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",136,photography,2,Art
M," M. Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",140,graphic design,17,Design
N, N. Administrative and support service activities,79,"Travel agency, tour operator, reservation service and related activities",30,"leisure, travel & tourism",14,Recreation and Travel
N, N. Administrative and support service activities,81,Services to buildings and landscape activities,40,recreational facilities and services,14,Recreation and Travel
N, N. Administrative and support service activities,82,"Office administrative, office support and other business support activities",101,fundraising,13,Nonprofit
N, N. Administrative and support service activities,78,Employment activities,104,staffing and recruiting,5,Corporate Services
N, N. Administrative and support service activities,80,Security and investigation activities,121,security and investigations,5,Corporate Services
N, N. Administrative and support service activities,81,Services to buildings and landscape activities,122,facilities services,5,Corporate Services
N, N. Administrative and support service activities,78,Employment activities,137,human resources ,5,Corporate Services
N, N. Administrative and support service activities,82,"Office administrative, office support and other business support activities",138,business supplies and equipment,5,Corporate Services
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,71,military,21,Public safety
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,72,legislative office,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,73,judiciary,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,74,international affairs,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,75,government administration,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,77,law enforcement,21,Public safety
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,78,public safety,21,Public safety
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,79,public policy,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,107,political organization,20,Public Administration
O, O. Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,148,government relations,20,Public Administration
P, P. Education,85, Education,67,primary/secondary education,6,Education
P, P. Education,85, Education,68,higher education,6,Education
P, P. Education,85, Education,69,education management,6,Education
P, P. Education,85, Education,132,e-learning,6,Education
Q, Q. Human health and social work activities,86,Human health activities,13,medical practice,12,Healthcare
Q, Q. Human health and social work activities,86,Human health activities,14,hospital & health care,12,Healthcare
Q, Q. Human health and social work activities,86,Human health activities,17,medical device,12,Healthcare
Q, Q. Human health and social work activities,86,Human health activities,125,alternative medicine,23,Wellness and Fitness
Q, Q. Human health and social work activities,86,Human health activities,139,mental health care,12,Healthcare
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",28,entertainment,18,Entertainment
R," R. Arts, entertainment and recreation",92,Gambling and betting activities,29,gambling & casinos,14,Recreation and Travel
R," R. Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,33,sports,14,Recreation and Travel
R," R. Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",37,museums and institutions,13,Nonprofit
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",38,fine art,2,Art
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",39,performing arts,2,Art
R," R. Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",85,libraries,13,Nonprofit
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",111,arts and crafts,2,Art
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",115,music,18,Entertainment
R," R. Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,124,"health, wellness and fitness",23,Wellness & Fitness
R," R. Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",127,animation,18,Entertainment
S, S. Other service activities,96,Other personal service activities,88,individual and family services,13,Nonprofit
S, S. Other service activities,94,Activities of professional membership organizations,89,religious institutions,13,Nonprofit
S, S. Other service activities,94,Activities of professional membership organizations,90,civic & social organization,13,Nonprofit
S, S. Other service activities,94,Activities of professional membership organizations,100,non-profit organization management,13,Nonprofit
S, S. Other service activities,94,Activities of professional membership organizations,141,international trade and development,13,Nonprofit
X, X. Not elsewhere classified,-9,Not_mapped,-9,Unknown,-9,ERR
X, X. Not elsewhere classified,-9,Not_mapped,102,program development,13,Nonprofit
X, X. Not elsewhere classified,-9,Not_mapped,130,think tanks,13,Nonprofit
X, X. Not elsewhere classified,-9,Not_mapped,131,philanthropy,13,Nonprofit
